name,permalink,sector,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at
defense mobile,/company/defense-mobile,mobile,10000000.0,operating,USA,NY,New York,new york,1.0,
ligandal technology,/company/ligandal-technology,nanotech,20000.0,operating,USA,CA,SF Bay,berkeley,1.0,2013-01-01
modustri,/company/modustri,other,145000.0,operating,USA,MI,Grand Rapids,grand rapids,1.0,
olympia media group,/company/olympia-media-group,advertising,400000.0,operating,USA,IN,Indianapolis,indianapolis,2.0,2009-01-01
whooch,/company/whooch,social,5000.0,operating,USA,NJ,New Jersey - Other,,1.0,2013-01-01
steek sa,/company/steek-sa,software,12000000.0,acquired,FRA,,Bordeaux Bruges Cedex,bordeaux bruges cedex,2.0,2002-01-01
taptap,/company/taptap,hardware,50000.0,operating,,,unknown,,1.0,
nuperty,/company/nuperty,,25000.0,operating,,,unknown,,1.0,
foodie media network,/company/foodie-media-network,web,435000.0,operating,USA,CA,Los Angeles,los angeles,1.0,
stellinc technology ab,/company/stellinc-technology-ab,mobile,70000.0,operating,SWE,,Solna,solna,4.0,
cotera,/company/cotera,,5041000.0,operating,USA,CA,SF Bay,menlo park,1.0,2011-01-01
mature women's health solutions,/company/mature-womens-health-solutions,,6000000.0,operating,USA,CA,SF Bay,los gatos,1.0,2012-01-01
minerva surgical,/company/minerva-surgical,,20000000.0,operating,USA,CA,SF Bay,cupertino,1.0,2008-01-01
compact particle acceleration,/company/compact-particle-acceleration,,6500100.0,operating,USA,CA,SF Bay,livermore,1.0,
altia systems,/company/altia-systems,mobile,6700000.0,operating,USA,CA,SF Bay,cupertino,1.0,
arkadium,/company/arkadium,games_video,5025000.0,operating,USA,NY,New York,new york,2.0,2001-01-01
the gunbox,/company/the-gunbox,,139000.0,operating,USA,UT,Salt Lake City,lehi,1.0,
pinxter inc.,/company/pinxter-inc,social,100000.0,operating,USA,VA,Washington DC,alexandria,1.0,2013-06-15
rapidminer,/company/rapidminer,analytics,5000000.0,operating,USA,MA,Boston,burlington,1.0,2007-01-01
yhat,/company/yhat,enterprise,1000000.0,operating,USA,NY,New York,new york,1.0,2013-06-01
enable holdings,/company/enable-holdings,,4250000.0,operating,USA,IL,Chicago,itasca,1.0,
berg cloud,/company/berg-cloud,software,1300000.0,operating,GBR,,London,london,1.0,
driverdo,/company/driverdo,other,175000.0,operating,USA,KS,Kansas City,lawrence,1.0,
7mb technologies,/company/7mb-technologies,software,350075.0,operating,USA,WA,Seattle,seattle,1.0,
gone!,/company/gone,web,275000.0,operating,USA,TX,Austin,austin,2.0,
gewara,/company/gewara,games_video,20000000.0,operating,CHN,,Shanghai,shanghai,1.0,
techlicious,/company/techlicious,web,110000.0,operating,,,unknown,,2.0,2009-01-01
jive bike,/company/jive-bike,transportation,272745.0,operating,GBR,,United Kingdom - Other,,1.0,
snapverse,/company/snapverse,mobile,3500000.0,operating,,,unknown,,1.0,
apt pharmaceuticals,/company/apt-pharmaceuticals,biotech,32000000.0,closed,USA,CA,SF Bay,burlingame,1.0,
biogenerics,/company/biogenerics,biotech,4660625.0,operating,USA,CA,SF Bay,redwood city,2.0,2010-01-01
adhezion biomedical,/company/adhezion-biomedical,biotech,1535000.0,operating,USA,PA,Philadelphia,wyomissing,2.0,2001-01-01
fatboy labs,/company/fatboy-labs,software,450000.0,operating,USA,TX,Dallas,mckinney,1.0,2011-01-01
whensoon,/company/whensoon,,5000000.0,operating,USA,CA,SF Bay,san francisco,1.0,2011-01-01
five apes,/company/five-apes,software,2000000.0,operating,USA,CA,SF Bay,palo alto,1.0,2007-01-01
prairie cloudware,/company/prairie-cloudware,software,1650000.0,operating,USA,NE,Omaha,omaha,1.0,2013-01-01
specpage,/company/specpage,software,275000.0,operating,USA,RI,Warwick,warwick,1.0,2004-01-01
awid,/company/awid,mobile,2000000.0,operating,USA,CA,SF Bay,morgan hill,1.0,1997-01-01
itb holdings,/company/itb-holdings,software,1775000.0,operating,USA,NY,New York,new york,1.0,2008-01-01
nyxio technologies,/company/nyxio-technologies,hardware,600000.0,operating,USA,OR,Portland,portland,1.0,2007-01-01
south austin surgery center,/company/south-austin-surgery-center,health,90000.0,operating,USA,TX,Austin,austin,1.0,
everpower,/company/everpower,cleantech,55000000.0,operating,USA,NY,New York,new york,1.0,
lokofoto,/company/lokofoto,photo_video,64500.0,operating,,,unknown,,1.0,
xylos corporation,/company/xylos-corporation,biotech,1500000.0,operating,USA,PA,Philadelphia,langhorne,1.0,1996-01-01
amminex,/company/amminex,cleantech,9782500.0,operating,DNK,,Denmark - Other,,1.0,
"demeter power group, inc.",/company/demeter-power-group-inc,cleantech,500000.0,operating,,,unknown,,1.0,2011-11-11
arisaph pharmaceuticals,/company/arisaph-pharmaceuticals,biotech,10000000.0,operating,USA,ME,Boston,boston,1.0,1999-01-01
tioga energy,/company/tioga-energy,cleantech,45000000.0,operating,USA,CA,SF Bay,san mateo,4.0,2007-01-01
tactics cloud,/company/tactics-cloud,software,1500000.0,operating,USA,CA,San Fransisco,san fransisco,1.0,
pulseon,/company/pulseon,software,1286600.0,operating,FIN,,Espoo,espoo,1.0,2012-01-01
